I like ice cold vanilla coffees from the cafe;I like ice cold vanilla coffees from the cafe;1.0
I like ice cold vanilla coffees from the cafe;I love ice cold vanilla coffees from the cafe;0.98
I like ice cold vanilla coffees from the cafe;I love cold vanilla coffees from the cafe;0.96
I like ice cold vanilla coffees from the cafe;I love cold chocolate coffees from the cafe;0.9
I like ice cold vanilla coffees from the cafe;I love cold chocolate coffees from the mall;0.87
I like ice cold vanilla coffees from the cafe;I love hot chocolate coffees from the mall;0.8
I like ice cold vanilla coffees from the cafe;I love hot chocolate from the mall;0.75
I like ice cold vanilla coffees from the cafe;I love hot chocolate from the mall during the weekend;0.74
I like ice cold vanilla coffees from the cafe;I love hot tea from the mall during the weekend;0.72
I like ice cold vanilla coffees from the cafe;I love cold soda and hot tea from the mall during the weekend;0.69
I like ice cold vanilla coffees from the cafe;I love cold soda and tea from the mall during the weekend;0.65
I like ice cold vanilla coffees from the cafe;I love soda from the mall during the weekend;0.62
I like ice cold vanilla coffees from the cafe;I get soda from the mall during the weekend;0.61
I like ice cold vanilla coffees from the cafe;You got soda from the mall during the weekend;0.61
I like ice cold vanilla coffees from the cafe;You got soda from the mall during the apocalypse;0.54
I like ice cold vanilla coffees from the cafe;You threw soda at the mall during the apocalypse;0.45
I like ice cold vanilla coffees from the cafe;You threw a couple grenades at the mall during the apocalypse;0.3
I like ice cold vanilla coffees from the cafe;You threw grenades at the mall during the apocalypse;0.29
I like ice cold vanilla coffees from the cafe;Live grenades were found at the mall during the apocalypse;0.28
I like ice cold vanilla coffees from the cafe;Grenades were found at the mall during the apocalypse;0.28
I like ice cold vanilla coffees from the cafe;Grenades were found at the junkyard during the apocalypse;0.25
I like ice cold vanilla coffees from the cafe;Grenades were found at the junkyard;0.25
I like ice cold vanilla coffees from the cafe;Cars were found at the junkyard;0.2
I like ice cold vanilla coffees from the cafe;Cars were found at the junkyard during the great gas crisis;0.19
I like ice cold vanilla coffees from the cafe;Full gas canisters were found at the junkyard during the great gas crisis;0.16
I like ice cold vanilla coffees from the cafe;Gas canisters were found at the junkyard during the great gas crisis;0.14
I like ice cold vanilla coffees from the cafe;Gas canisters were found at the junkyard during the great recession;0.13
I like ice cold vanilla coffees from the cafe;Gas fuel was found at the junkyard during the great recession;0.12
I like ice cold vanilla coffees from the cafe;Gas fuel was found at the hotels during the great recession;0.11
I like ice cold vanilla coffees from the cafe;Gas barons were found at the hotels during the great recession;0.1
I like ice cold vanilla coffees from the cafe;Gas barons were found at the hotels during the great housing market crisis;0.1
I like ice cold vanilla coffees from the cafe;Real estate barons were found at the hotels during the great housing market crisis;0.09
I like ice cold vanilla coffees from the cafe;Real estate moguls were found at the hotels during the great housing market crisis;0.09
I like ice cold vanilla coffees from the cafe;Real estate moguls were found in the hotel suites during the great housing market crisis;0.08
I like ice cold vanilla coffees from the cafe;Crickets were found in the hotel suites during the great housing market crisis;0.07
I like ice cold vanilla coffees from the cafe;Crickets were found in the hotel bathrooms during the great housing market crisis;0.06
I like ice cold vanilla coffees from the cafe;Crickets were found in the hotel bathrooms during the bug extermination;0.05
I like ice cold vanilla coffees from the cafe;Silverfish were removed from the hotel bathrooms during the bug extermination;0.05
I like ice cold vanilla coffees from the cafe;Silverfish were added to minecraft during the bug extermination;0.03
I like ice cold vanilla coffees from the cafe;Silverfish were added to minecraft during the first full release;0.03
I like ice cold vanilla coffees from the cafe;Dragons were added to minecraft during the first full release;0.03
I like ice cold vanilla coffees from the cafe;Dragons were added to real life during the first full release;0.02
I like ice cold vanilla coffees from the cafe;Dragons were added to real life during the dark ages;0.02
I like ice cold vanilla coffees from the cafe;Dragons were found in real life during the dark ages;0.02
I like ice cold vanilla coffees from the cafe;Dragons were slain in real life during the dark ages;0.02
I like ice cold vanilla coffees from the cafe;Dragons were slain in real life after the golden age;0.02
I like ice cold vanilla coffees from the cafe;Dragons were slain in the mountains after the golden age;0.01
I like ice cold vanilla coffees from the cafe;Dragons were nesting in the mountains since the golden age;0.01
I like ice cold vanilla coffees from the cafe;Humans returned to the mountains after inventing boots;0.01
I like ice cold vanilla coffees from the cafe;Humans conquered the world after solving poverty;0.00